dist_group,mode,trips,source,share,scaled_trips
0 - 1000,bike,423.1216294900378,srv,0.014480377180862307,297392.6276054593
0 - 1000,car,705.4382741103,srv,0.024142023415926996,495819.9423744226
0 - 1000,pt,49.98300186924086,srv,0.0017105547654717333,35130.740726768025
0 - 1000,pt_w_unknown,3.396252003868764,srv,0.0001162290145189495,2387.068485858671
0 - 1000,ride,246.21505086060705,srv,0.008426151147989707,173053.17390580647
0 - 1000,walk,3594.147472095588,srv,0.12300153764843705,2526160.059499374
1000 - 2000,bike,672.2042230958212,srv,0.025770032516290477,472461.2647074791
1000 - 2000,car,1166.558294132626,srv,0.04472189275082978,819919.8815838651
1000 - 2000,pt,439.6106587940676,srv,0.016853183277332786,308982.00382642675
1000 - 2000,pt_w_ride_used,3.14358654743013,srv,0.00012051445790083969,2209.481620148259
1000 - 2000,pt_w_unknown,13.479685104182334,srv,0.0005167654583369363,9474.247339372516
1000 - 2000,ride,518.976094836707,srv,0.019895785208735545,364764.2988469399
1000 - 2000,walk,1214.2943274130555,srv,0.04655193053930123,853471.3319926724
2000 - 5000,bike,1057.2947270194363,srv,0.04267618806574016,743123.572767178
2000 - 5000,car,2889.682432963423,srv,0.11663789462665673,2031024.1589872737
2000 - 5000,pt,931.9206231509976,srv,0.03761564184477641,655003.9126400119
2000 - 5000,pt_w_bike_used,1.57965309762528,srv,6.376043590317304e-05,1110.2651168508648
2000 - 5000,pt_w_ride_used,5.566472748148335,srv,0.00022468270368894913,3912.416292830976
2000 - 5000,pt_w_unknown,27.69281061866784,srv,0.00111778065645209,19463.996027789686
2000 - 5000,ride,897.9174229595062,srv,0.03624315134697554,631104.6355831291
2000 - 5000,walk,668.4713385378119,srv,0.026981888617205147,469837.5927656968
5000 - 10000,bike,198.34574624139395,srv,0.009319674691630591,139408.05323563024
5000 - 10000,car,2515.645573632415,srv,0.11820267805068606,1768130.9465750237
5000 - 10000,pt,588.7653174458728,srv,0.0276643252113516,413815.9162631817
5000 - 10000,pt_w_bike_used,9.1055838255021,srv,0.00042784421011869814,6399.893815429723
5000 - 10000,pt_w_car_used,1.17605391196819,srv,5.525926361951752e-05,826.5939122692243
5000 - 10000,pt_w_ride_used,5.8087959046994495,srv,0.00027293798434169296,4082.734034193526
5000 - 10000,pt_w_unknown,5.91484460625506,srv,0.0002779208963460939,4157.270762669877
5000 - 10000,ride,645.1859712772746,srv,0.030315363358435626,453471.38486770896
5000 - 10000,walk,133.74877880116648,srv,0.006284455968683533,94005.83188016096
10000 - 20000,bike,69.30542766705287,srv,0.002828291211027731,48711.58032281643
10000 - 20000,car,2019.1242104347575,srv,0.08239861509520485,1419149.0402575338
10000 - 20000,pt,312.9477442962614,srv,0.01277111165024756,219956.4983043672
10000 - 20000,pt_w_bike_used,0.878679810665508,srv,3.5858120633086346e-05,617.5834074770111
10000 - 20000,pt_w_car_used,25.66144329458532,srv,0.00104722006595254,18036.241869088622
10000 - 20000,pt_w_ride_used,10.9776769524469,srv,0.000447988971242838,7715.701506034542
10000 - 20000,pt_w_unknown,19.843073711969826,srv,0.0008097777168182852,13946.778939388776
10000 - 20000,ride,407.2744277684782,srv,0.01662049746042556,286254.3623131639
10000 - 20000,walk,45.98246747353429,srv,0.0018765025048476489,32318.950090588303
20000+,bike,56.41286223227586,srv,0.0021166162669991827,39649.992249796574
20000+,car,1886.796945183899,srv,0.07079281122551713,1326142.3245190182
20000+,pt,382.77376495089504,srv,0.014361710174174529,269033.97936517285
20000+,pt_w_bike_used,1.86789165226075,srv,7.008348273286307e-05,1312.854668331736
20000+,pt_w_car_used,16.701878607856592,srv,0.0006266561658452617,11738.97815416413
20000+,pt_w_ride_used,24.035534330958413,srv,0.0009018156664601405,16893.465642964118
20000+,pt_w_unknown,58.74312428542833,srv,0.0022040479336953456,41287.8256922314
20000+,ride,231.91856926051148,srv,0.008701608053404511,163004.83807932134
20000+,walk,18.666339074895536,srv,0.0007003629202249836,13119.706576920202
