dist_group,main_mode,trips,mode,scaled_trips,source
0 - 1000,bike,2327,bike,77566.66666666667,sim
0 - 1000,car,15939,car,531300,sim
0 - 1000,pt,986,pt,32866.66666666667,sim
0 - 1000,ride,639,ride,21300,sim
0 - 1000,walk,68453,walk,2281766.666666667,sim
1000 - 2000,bike,7311,bike,243700.00000000003,sim
1000 - 2000,car,27552,car,918400.0000000001,sim
1000 - 2000,pt,6683,pt,222766.6666666667,sim
1000 - 2000,ride,1294,ride,43133.333333333336,sim
1000 - 2000,walk,36406,walk,1213533.3333333335,sim
2000 - 5000,bike,21792,bike,726400,sim
2000 - 5000,car,67473,car,2249100,sim
2000 - 5000,pt,21851,pt,728366.6666666667,sim
2000 - 5000,ride,8119,ride,270633.3333333334,sim
2000 - 5000,walk,15213,walk,507100.00000000006,sim
5000 - 10000,bike,10719,bike,357300,sim
5000 - 10000,car,54584,car,1819466.6666666667,sim
5000 - 10000,pt,16977,pt,565900,sim
5000 - 10000,ride,16073,ride,535766.6666666667,sim
5000 - 10000,walk,758,walk,25266.666666666668,sim
10000 - 20000,bike,3061,bike,102033.33333333334,sim
10000 - 20000,car,36540,car,1218000,sim
10000 - 20000,pt,9276,pt,309200,sim
10000 - 20000,ride,12088,ride,402933.3333333334,sim
10000 - 20000,walk,123,walk,4100,sim
20000+,bike,620,bike,20666.666666666668,sim
20000+,car,28411,car,947033.3333333334,sim
20000+,pt,14594,pt,486466.6666666667,sim
20000+,ride,8097,ride,269900,sim
20000+,walk,68,walk,2266.666666666667,sim
