dist_group,main_mode,share
0 - 1000,bike,0.09383859320773574
0 - 1000,car,0.1382166497660099
0 - 1000,pt,0.011552248667465523
0 - 1000,ride,0.05530685189645805
0 - 1000,walk,0.7010856564623307
1000 - 2000,bike,0.1368649712667516
1000 - 2000,car,0.30612379122174554
1000 - 2000,pt,0.06526594014271218
1000 - 2000,ride,0.140847000089074
1000 - 2000,walk,0.35089829727971655
2000 - 5000,bike,0.13324127460988605
2000 - 5000,car,0.4631170298305646
2000 - 5000,pt,0.14018241623590794
2000 - 5000,ride,0.1572065716205484
2000 - 5000,walk,0.10625270770309292
5000 - 10000,bike,0.06105616058424873
5000 - 10000,car,0.5701214687399211
5000 - 10000,pt,0.16231768726188198
5000 - 10000,ride,0.16779820776857246
5000 - 10000,walk,0.03870647564537582
10000 - 20000,bike,0.028605718927299652
10000 - 20000,car,0.6288463803539882
10000 - 20000,pt,0.15103249875233976
10000 - 20000,ride,0.18161439533313253
10000 - 20000,walk,0.009901006633239881
20000 - 50000,bike,0.016617901995533552
20000 - 50000,car,0.6846736075065901
20000 - 50000,pt,0.18058261068657303
20000 - 50000,ride,0.11065976311787587
20000 - 50000,walk,0.007466116693427548
50000+,bike,0.027729352370497805
50000+,car,0.7080143450381075
50000+,pt,0.15151231485520777
50000+,ride,0.11274398773618693
50000+,walk,0.0
